Note,FileSize,FileCount,Network,Source,Destination,Bandwidth,RTT,BufferSize,Parallelism,Concurrency,Pipelining,Fast,Throughput,TestBed,Protocol,Version,Dedicated,Duration,CPU,MEM,DiskBW,Power
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,4,1,3,OFF,40.96459884,REAL,GridFTP,gt-5.0.3,no,24.99719341,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,5,1,4,OFF,57.43914373,REAL,GridFTP,gt-5.0.3,no,17.82756381,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,6,1,5,OFF,65.0424644,REAL,GridFTP,gt-5.0.3,no,15.74356091,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,7,1,6,OFF,53.42716626,REAL,GridFTP,gt-5.0.3,no,19.16627947,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,8,1,7,OFF,34.30814868,REAL,GridFTP,gt-5.0.3,no,29.8471366,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,9,1,8,OFF,29.36289915,REAL,GridFTP,gt-5.0.3,no,34.87394057,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,10,1,9,OFF,42.96968119,REAL,GridFTP,gt-5.0.3,no,23.83075628,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,0,OFF,10.58831014,REAL,GridFTP,gt-5.0.3,no,96.71042749,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,2,2,0,OFF,41.1998669,REAL,GridFTP,gt-5.0.3,no,24.85444923,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,3,3,0,OFF,70.25263368,REAL,GridFTP,gt-5.0.3,no,14.575966,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,4,4,0,OFF,72.86612575,REAL,GridFTP,gt-5.0.3,no,14.05316928,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,5,5,0,OFF,80.42128419,REAL,GridFTP,gt-5.0.3,no,12.73294763,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,6,6,0,OFF,77.69879697,REAL,GridFTP,gt-5.0.3,no,13.17909723,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,7,7,0,OFF,89.54905199,REAL,GridFTP,gt-5.0.3,no,11.4350736,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,8,8,0,OFF,48.92646244,REAL,GridFTP,gt-5.0.3,no,20.92936928,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,9,9,0,OFF,49.38426298,REAL,GridFTP,gt-5.0.3,no,20.73535046,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,10,10,0,OFF,51.1913648,REAL,GridFTP,gt-5.0.3,no,20.00337369,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,0,OFF,21.65182573,REAL,GridFTP,gt-5.0.3,no,47.29393321,,,,
